group_id,C0,C1,C2,seed,c1_minus_c0,c2_minus_c1
01::003943586429,1.0,1.0,1.0,3407,0.0,0.0
01::003943826429,1.0,1.0,1.0,3407,0.0,0.0
01::003943946429,1.0,1.0,1.0,3407,0.0,0.0
01::003944066429,1.0,1.0,1.0,3407,0.0,0.0
01::003944166429,1.0,1.0,1.0,3407,0.0,0.0
01::003946496435,1.0,1.0,1.0,3407,0.0,0.0
01::003946596435,1.0,1.0,1.0,3407,0.0,0.0
01::003947166436,1.0,1.0,1.0,3407,0.0,0.0
01::003948346438,1.0,1.0,1.0,3407,0.0,0.0
01::003948396438,1.0,1.0,1.0,3407,0.0,0.0
01::003949476445,1.0,0.0,1.0,3407,-1.0,1.0
01::003952226450,1.0,1.0,1.0,3407,0.0,0.0
01::003955756462,1.0,1.0,1.0,3407,0.0,0.0
01::003955766462,1.0,1.0,1.0,3407,0.0,0.0
01::003961116475,0.8,1.0,1.0,3407,0.19999999999999996,0.0
01::003961386475,1.0,1.0,1.0,3407,0.0,0.0
01::003961566475,1.0,1.0,1.0,3407,0.0,0.0
01::003976716512,1.0,1.0,1.0,3407,0.0,0.0
01::003977136512,1.0,1.0,1.0,3407,0.0,0.0
01::004086136713,1.0,1.0,1.0,3407,0.0,0.0
01::004089516717,1.0,1.0,1.0,3407,0.0,0.0
01::004089536717,1.0,1.0,1.0,3407,0.0,0.0
01::004093116723,1.0,1.0,1.0,3407,0.0,0.0
01::004093286723,0.0,0.0,1.0,3407,0.0,1.0
01::004094566724,1.0,1.0,1.0,3407,0.0,0.0
01::004094966724,1.0,1.0,1.0,3407,0.0,0.0
01::004095656724,1.0,1.0,1.0,3407,0.0,0.0
01::004095986724,1.0,1.0,1.0,3407,0.0,0.0
01::004096496724,1.0,1.0,1.0,3407,0.0,0.0
01::004099076725,1.0,1.0,1.0,3407,0.0,0.0
01::004099526726,1.0,1.0,1.0,3407,0.0,0.0
01::004100006725,1.0,1.0,1.0,3407,0.0,0.0
