seed,fold,method,view,species_id,f1,tier
2026,1,F1,same_swap,11,0.9354838709677419,tail
2026,1,F1,same_swap,12,0.9504950495049505,tail
2026,1,F1,same_swap,13,1.0,tail
2026,1,F1,same_swap,14,0.8888888888888888,tail
2026,1,F1,same_swap,15,0.7096774193548387,tail
2026,1,F1,same_swap,16,0.9908256880733946,mid
2026,1,F1,same_swap,2,0.9869095048377917,head
2026,1,F1,same_swap,3,0.9737427681352915,head
2026,1,F1,same_swap,4,0.9945720250521921,head
2026,1,F1,same_swap,5,0.9912280701754386,head
2026,1,F1,same_swap,6,0.891566265060241,mid
2026,1,F1,same_swap,7,0.9537037037037037,head
2026,1,F1,same_swap,8,0.821917808219178,mid
2026,1,F1,same_swap,9,0.9488372093023256,mid
2026,1,F1,cross_swap,1,0.8133605303416624,head
2026,1,F1,cross_swap,10,0.7283950617283951,mid
2026,1,F1,cross_swap,11,0.7777777777777778,tail
2026,1,F1,cross_swap,12,0.7758620689655172,tail
2026,1,F1,cross_swap,13,0.7027027027027027,tail
2026,1,F1,cross_swap,14,0.4878048780487805,tail
2026,1,F1,cross_swap,15,0.18181818181818182,tail
2026,1,F1,cross_swap,16,0.2894736842105263,mid
2026,1,F1,cross_swap,2,0.7412309728656519,head
2026,1,F1,cross_swap,3,0.7093546773386693,head
2026,1,F1,cross_swap,4,0.7242394504416094,head
2026,1,F1,cross_swap,5,0.8145833333333333,head
2026,1,F1,cross_swap,6,0.5473684210526316,mid
2026,1,F1,cross_swap,7,0.39215686274509803,head
2026,1,F1,cross_swap,8,0.46706586826347307,mid
2026,1,F1,cross_swap,9,0.8292682926829268,mid
2026,2,F0,original,1,0.9931068439192516,head
2026,2,F0,original,10,0.9844961240310077,mid
2026,2,F0,original,11,0.9629629629629629,tail
2026,2,F0,original,12,0.920863309352518,tail
2026,2,F0,original,13,1.0,tail
2026,2,F0,original,14,0.6987951807228916,tail
2026,2,F0,original,15,1.0,tail
2026,2,F0,original,16,0.9833333333333333,mid
2026,2,F0,original,2,0.9931584948688712,head
2026,2,F0,original,3,0.9940546967895363,head
2026,2,F0,original,4,0.996267390566678,head
2026,2,F0,original,5,0.9989047097480832,head
2026,2,F0,original,6,0.9940828402366864,mid
2026,2,F0,original,7,0.9855072463768116,head
2026,2,F0,original,8,0.7522935779816514,mid
2026,2,F0,original,9,0.9922480620155039,mid
2026,2,F0,foreground,1,0.9823095823095823,head
2026,2,F0,foreground,10,0.9803921568627451,mid
2026,2,F0,foreground,11,0.9019607843137255,tail
2026,2,F0,foreground,12,0.9577464788732394,tail
2026,2,F0,foreground,13,0.9367088607594937,tail
2026,2,F0,foreground,14,0.5434782608695652,tail
2026,2,F0,foreground,15,0.8,tail
2026,2,F0,foreground,16,0.09523809523809523,mid
2026,2,F0,foreground,2,0.9781267526640494,head
2026,2,F0,foreground,3,0.9802498992341797,head
2026,2,F0,foreground,4,0.962743158588856,head
2026,2,F0,foreground,5,0.9696,head
2026,2,F0,foreground,6,0.9433962264150944,mid
2026,2,F0,foreground,7,0.9622641509433962,head
2026,2,F0,foreground,8,0.6122448979591837,mid
2026,2,F0,foreground,9,0.9767441860465116,mid
2026,2,F0,same_swap,1,0.9859644764625513,head
2026,2,F0,same_swap,10,0.9846153846153847,mid
2026,2,F0,same_swap,11,0.9629629629629629,tail
2026,2,F0,same_swap,12,0.9379310344827586,tail
2026,2,F0,same_swap,13,1.0,tail
2026,2,F0,same_swap,14,0.6666666666666666,tail
2026,2,F0,same_swap,15,0.8,tail
2026,2,F0,same_swap,16,0.9873417721518988,mid
