fold,seed,donor_species,recipient_species,n,f0_correct,cxt_correct,delta_correct
2,3407,1,14,29,0.2413793103448276,0.41379310344827586,0.1724137931034483
2,3407,1,15,33,0.7272727272727273,0.8484848484848485,0.12121212121212122
2,3407,10,0,100,0.89,0.93,0.04
2,3407,10,2,1,1.0,1.0,0.0
2,3407,10,3,1,1.0,0.0,-1.0
2,3407,10,4,1,1.0,1.0,0.0
2,3407,10,5,1,1.0,1.0,0.0
2,3407,10,8,21,0.7142857142857143,0.6190476190476191,-0.09523809523809523
2,3407,10,9,17,0.7647058823529411,0.9411764705882353,0.17647058823529413
2,3407,10,10,25,1.0,1.0,0.0
2,3407,10,11,10,1.0,1.0,0.0
2,3407,10,12,1,1.0,0.0,-1.0
2,3407,10,13,5,0.2,0.0,-0.2
2,3407,11,0,24,0.875,0.9166666666666666,0.041666666666666664
2,3407,11,3,1,1.0,1.0,0.0
2,3407,11,7,1,0.0,0.0,0.0
2,3407,11,8,3,1.0,1.0,0.0
2,3407,11,9,7,0.7142857142857143,1.0,0.2857142857142857
2,3407,11,10,7,0.7142857142857143,0.8571428571428571,0.14285714285714285
2,3407,11,11,2,1.0,1.0,0.0
2,3407,12,0,56,0.9464285714285714,1.0,0.05357142857142857
2,3407,12,1,2,0.0,1.0,1.0
2,3407,12,7,1,0.0,0.0,0.0
2,3407,12,8,8,0.875,0.875,0.0
2,3407,12,9,8,0.25,0.625,0.375
2,3407,12,10,14,1.0,1.0,0.0
2,3407,12,11,8,1.0,1.0,0.0
2,3407,12,12,1,1.0,1.0,0.0
2,3407,13,0,74,0.5540540540540541,0.5675675675675675,0.013513513513513514
2,3407,13,2,1,1.0,0.0,-1.0
2,3407,13,3,2,0.5,0.5,0.0
2,3407,13,8,13,0.8461538461538461,0.6923076923076923,-0.15384615384615385
2,3407,13,9,8,0.5,0.625,0.125
2,3407,13,10,19,1.0,0.8421052631578947,-0.15789473684210525
2,3407,13,11,7,0.8571428571428571,0.8571428571428571,0.0
2,3407,13,12,2,1.0,1.0,0.0
2,3407,13,13,2,0.0,0.5,0.5
2,3407,13,15,1,1.0,1.0,0.0
2,3407,14,0,18,1.0,1.0,0.0
2,3407,14,3,1,1.0,0.0,-1.0
2,3407,14,7,1,0.0,0.0,0.0
2,3407,14,8,2,1.0,1.0,0.0
2,3407,14,9,10,1.0,1.0,0.0
2,3407,14,10,5,0.8,0.8,0.0
2,3407,14,11,5,1.0,1.0,0.0
2,3407,14,14,1,1.0,1.0,0.0
2,3407,15,0,7,1.0,1.0,0.0
2,3407,15,4,1,1.0,1.0,0.0
2,3407,15,9,1,1.0,1.0,0.0
2,3407,15,10,2,1.0,1.0,0.0
2,3407,15,11,4,1.0,1.0,0.0
2,3407,16,0,84,0.8452380952380952,0.9523809523809523,0.10714285714285714
2,3407,16,1,2,0.0,1.0,1.0
2,3407,16,4,1,1.0,1.0,0.0
2,3407,16,8,16,0.8125,0.875,0.0625
2,3407,16,9,23,0.43478260869565216,0.782608695652174,0.34782608695652173
2,3407,16,10,18,0.8888888888888888,0.8888888888888888,0.0
2,3407,16,11,10,0.9,1.0,0.1
2,3407,16,12,1,1.0,1.0,0.0
2,3407,16,13,1,0.0,0.0,0.0
2,3407,16,14,1,1.0,1.0,0.0
2,3407,16,15,2,0.0,1.0,1.0
2,3407,2,0,662,0.8096676737160121,0.8670694864048338,0.05740181268882175
2,3407,2,1,12,0.0,0.5,0.5
2,3407,2,2,1,1.0,1.0,0.0
2,3407,2,3,9,0.4444444444444444,0.4444444444444444,0.0
2,3407,2,4,2,0.5,0.5,0.0
2,3407,2,5,4,0.25,0.5,0.25
2,3407,2,7,14,0.0,0.21428571428571427,0.21428571428571427
2,3407,2,9,130,0.8846153846153846,0.9538461538461539,0.06923076923076923
2,3407,2,10,181,0.5193370165745856,0.6850828729281768,0.16574585635359115
2,3407,2,11,96,0.9166666666666666,0.9791666666666666,0.0625
2,3407,2,12,9,0.5555555555555556,0.6666666666666666,0.1111111111111111
2,3407,2,13,9,0.6666666666666666,0.7777777777777778,0.1111111111111111
2,3407,2,14,5,0.8,1.0,0.2
2,3407,2,15,4,1.0,1.0,0.0
2,3407,3,0,987,0.7548125633232016,0.7649442755825735,0.010131712259371834
2,3407,3,1,14,0.07142857142857142,0.7142857142857143,0.6428571428571429
2,3407,3,2,4,0.75,0.75,0.0
2,3407,3,3,10,0.7,0.8,0.1
2,3407,3,4,14,0.7857142857142857,1.0,0.21428571428571427
2,3407,3,5,2,0.0,0.5,0.5
2,3407,3,6,1,1.0,0.0,-1.0
2,3407,3,7,10,0.0,0.0,0.0
2,3407,3,8,130,0.9538461538461539,0.9769230769230769,0.023076923076923078
2,3407,3,10,213,0.7230046948356808,0.8169014084507042,0.09389671361502347
2,3407,3,11,139,0.841726618705036,0.9856115107913669,0.14388489208633093
2,3407,3,12,13,0.6153846153846154,0.8461538461538461,0.23076923076923078
2,3407,3,13,15,0.2,0.4,0.2
2,3407,3,14,10,0.3,0.5,0.2
2,3407,3,15,8,0.875,1.0,0.125
2,3407,4,0,1109,0.478809738503156,0.6266907123534716,0.1478809738503156
2,3407,4,1,14,0.0,0.2857142857142857,0.2857142857142857
2,3407,4,2,4,0.25,0.25,0.0
2,3407,4,3,16,0.375,0.3125,-0.0625
2,3407,4,4,12,0.6666666666666666,0.9166666666666666,0.25
2,3407,4,5,10,0.0,0.1,0.1
2,3407,4,6,2,0.0,0.0,0.0
2,3407,4,7,14,0.0,0.14285714285714285,0.14285714285714285
2,3407,4,8,144,0.4513888888888889,0.3125,-0.1388888888888889
2,3407,4,9,230,0.4217391304347826,0.6217391304347826,0.2
2,3407,4,11,155,0.9096774193548387,0.967741935483871,0.05806451612903226
2,3407,4,12,15,0.7333333333333333,0.8,0.06666666666666667
2,3407,4,13,19,0.15789473684210525,0.2631578947368421,0.10526315789473684
2,3407,4,14,16,0.0625,0.25,0.1875
2,3407,4,15,10,0.4,0.6,0.2
2,3407,5,0,656,0.711890243902439,0.7088414634146342,-0.003048780487804878
2,3407,5,1,12,0.08333333333333333,0.4166666666666667,0.3333333333333333
2,3407,5,2,3,1.0,1.0,0.0
2,3407,5,3,5,1.0,0.8,-0.2
2,3407,5,4,12,0.6666666666666666,0.75,0.08333333333333333
2,3407,5,5,5,0.0,0.2,0.2
2,3407,5,6,3,0.3333333333333333,0.0,-0.3333333333333333
2,3407,5,7,16,0.0,0.0,0.0
2,3407,5,8,120,0.55,0.5416666666666666,-0.008333333333333333
2,3407,5,9,136,0.39705882352941174,0.5882352941176471,0.19117647058823528
2,3407,5,10,151,0.9006622516556292,0.8741721854304636,-0.026490066225165563
2,3407,5,12,6,0.6666666666666666,0.3333333333333333,-0.3333333333333333
2,3407,5,13,10,0.0,0.0,0.0
2,3407,5,14,3,0.0,0.0,0.0
2,3407,5,15,2,0.5,0.5,0.0
2,3407,6,0,71,0.9154929577464789,0.9295774647887324,0.014084507042253521
2,3407,6,1,1,0.0,1.0,1.0
2,3407,6,3,3,1.0,1.0,0.0
2,3407,6,4,1,1.0,1.0,0.0
2,3407,6,7,2,0.5,0.0,-0.5
2,3407,6,8,10,0.9,1.0,0.1
